ticket_id,short_description,description,category,assignment_group,resolution
INC1006230,Email issue: unable to send emails,Adam reported that they are receiving a non-delivery report (NDR) when trying to send emails to external recipients. First noticed on 2026-01-30.,Email,Email Administration,Identified that the domain was temporarily blacklisted by the recipient's mail server; submitted delisting request and confirmed emails are now delivering. Confirmed with Adam that the issue is resolved. Time to resolve: 1 business day.
INC1006231,Printer-Xerox-WorkCentre-9: poor print quality,Brandon reported that documents printed on Printer-Xerox-WorkCentre-9 at Berlin Office show faded or streaked output. Issue reported on 2025-01-29.,Printing,Field Services,Replaced toner cartridge and cleaned print heads on Printer-Xerox-WorkCentre-9; print quality restored to normal. Time to resolve: 15 minutes.
INC1006232,Telephony: voicemail not working,"John at Berlin Office reported that their phone is unable to access voicemail, receiving an authentication error. Reported on 2026-03-15.",Telephony,Desktop Support,Reset voicemail PIN and reconfigured voicemail box settings; user confirmed access restored. Time to resolve: 15 minutes.
INC1006233,ProdDB01 access request,John Simon requires access to ProdDB01 to perform their job duties. Request submitted on 2025-12-29 with approval workflow initiated.,Access Management,Identity & Access Management,Access to ProdDB01 was granted following manager approval from Dana Smith; role-based permissions applied. Estimated resolution time: 3 business days.
INC1006234,ProdDB01 data discrepancy,Carla Morrison noticed inconsistent record counts between ProdDB01 and the reporting dashboard. Reported on 2025-07-29. Impact assessed as affecting downstream reporting.,Database,Database Administration,Traced the discrepancy to a failed ETL job for ProdDB01 and re-ran the job successfully; data now reconciled. Time to resolve: 1 hour.
INC1006235,Phishing email report reported by user,John reported a phishing email report via the security hotline. Reported/detected on 2026-02-02.,Security,Security Operations,"Analyzed the reported phishing email report, removed the associated malicious email from all mailboxes, and issued a security awareness reminder to staff. Incident closed after confirming no further malicious activity. Time to resolve: next business day."
INC1006236,Vpn connection configuration request,Cassandra at London Office (IP 172.20.67.173) requesting a configuration change to VPN connection. Reported on 2025-02-16. Business impact: unable to access internal resources reliably.,Network,Network Operations,Applied the requested configuration change to VPN connection and validated connectivity with the requester. Confirmed resolution with Cassandra. Total time to resolve: 1 business day.
INC1006237,Salesforce permission elevation,Mrs. Deanna Lopez DDS requires elevated permissions in Salesforce to complete a new project. Request submitted on 2025-07-01 with approval workflow initiated.,Access Management,Identity & Access Management,"Elevated permissions were granted in Salesforce with manager approval from David Martin, with a scheduled review in 90 days. Estimated resolution time: 1 hour."
INC1006238,AnalyticsDB access revocation,Tracey Bennett has changed roles and no longer requires access to AnalyticsDB. Request submitted on 2025-08-03 with approval workflow initiated.,Access Management,Service Desk,Revoked AnalyticsDB access in accordance with least-privilege policy and updated access records. Estimated resolution time: next business day.
INC1006239,Email issue: mailbox full,Samantha reported that they are receiving a mailbox quota exceeded warning and cannot receive new emails. First noticed on 2025-12-14.,Email,Email Administration,Increased mailbox quota and assisted user in archiving older emails to a PST file; mailbox now within limits. Confirmed with Samantha that the issue is resolved. Time to resolve: 15 minutes.
INC1006240,Printer-Xerox-WorkCentre-2: not printing,Jenna reported that jobs sent to Printer-Xerox-WorkCentre-2 at Austin Office are queued but never print. Issue reported on 2025-02-26.,Printing,Desktop Support,Restarted the print spooler service and reinstalled the driver for Printer-Xerox-WorkCentre-2; print jobs now complete successfully. Time to resolve: 3 business days.
INC1006241,Salesforce access request,Gina Taylor requires access to Salesforce to perform their job duties. Request submitted on 2024-11-23 with approval workflow initiated.,Access Management,Identity & Access Management,Access to Salesforce was granted following manager approval from Michael Smith; role-based permissions applied. Estimated resolution time: 1 hour.
INC1006242,AWS S3 bucket: provisioning request,April Henderson requesting provisioning of a new AWS S3 bucket for an upcoming project. Submitted on 2025-02-01.,Cloud Services,Application Support,Provisioned the requested AWS S3 bucket according to standard sizing guidelines and shared access details with April Henderson. Time to resolve: next business day.
INC1006243,Wireless mouse won't power on,Kathleen at London Office reported that their wireless mouse (asset tag AST-36277) does not power on when the power button is pressed. Issue first observed on 2025-01-22. Requesting hardware support to resolve.,Hardware,Desktop Support,Replaced faulty power supply unit on wireless mouse (asset AST-36277) and confirmed device powers on normally. Verified with Kathleen that the issue is resolved. Estimated resolution time: 1 hour.
INC1006244,Mobile phone screen is flickering,"Joshua at London Office reported that their mobile phone (asset tag AST-17270) display flickers intermittently, especially under load. Issue first observed on 2024-12-26. Requesting hardware support to resolve.",Hardware,Field Services,Reseated display cable and updated graphics driver on mobile phone (asset AST-17270); flickering resolved. Verified with Joshua that the issue is resolved. Estimated resolution time: 30 minutes.
INC1006245,Laptop battery not charging,Suzanne at Austin Office reported that their laptop (asset tag AST-48970) battery does not charge even when connected to the power adapter. Issue first observed on 2025-09-12. Requesting hardware support to resolve.,Hardware,Desktop Support,Replaced battery and power adapter for laptop (asset AST-48970); confirmed charging is functioning correctly. Verified with Suzanne that the issue is resolved. Estimated resolution time: 4 hours.
INC1006246,Printer-Xerox-WorkCentre-15: low toner,Chad reported that Printer-Xerox-WorkCentre-15 at Sydney Office is displaying a low toner warning. Issue reported on 2025-11-22.,Printing,Desktop Support,Replaced toner cartridge on Printer-Xerox-WorkCentre-15 from on-site inventory; warning cleared. Time to resolve: 3 business days.
INC1006247,Jira password reset,Lawrence Marsh is unable to log in and has requested a password reset for Jira. Request submitted on 2025-03-31 with approval workflow initiated.,Access Management,Identity & Access Management,Reset password for Jira account and sent temporary credentials securely to the user; user confirmed successful login. Estimated resolution time: next business day.
INC1006248,Power BI access request,Steven Brown requires access to Power BI to perform their job duties. Request submitted on 2025-12-05 with approval workflow initiated.,Access Management,Identity & Access Management,Access to Power BI was granted following manager approval from Erica Carroll; role-based permissions applied. Estimated resolution time: 1 hour.
INC1006249,Printer-Canon-imageRUNNER-14: poor print quality,Chad reported that documents printed on Printer-Canon-imageRUNNER-14 at Bengaluru Office show faded or streaked output. Issue reported on 2025-10-23.,Printing,Desktop Support,Replaced toner cartridge and cleaned print heads on Printer-Canon-imageRUNNER-14; print quality restored to normal. Time to resolve: 1 hour.
INC1006250,Azure VM: decommission request,Allen Moran requesting decommissioning of an unused Azure VM to reduce costs. Submitted on 2025-06-30.,Cloud Services,Application Support,"Decommissioned the Azure VM after confirming no active dependencies, and archived relevant data per policy. Time to resolve: next business day."
INC1006251,Firewall rule configuration request,Justin at Toronto Office (IP 10.79.56.45) requesting a configuration change to firewall rule. Reported on 2025-01-28. Business impact: unable to access internal resources reliably.,Network,Infrastructure Team,Applied the requested configuration change to firewall rule and validated connectivity with the requester. Confirmed resolution with Justin. Total time to resolve: 30 minutes.
INC1006252,LoggingDB performance degradation,Wendy Hardy reports that queries against LoggingDB are running significantly slower than usual. Reported on 2025-01-04. Impact assessed as affecting downstream reporting.,Database,Database Administration,Identified missing indexes on frequently queried tables in LoggingDB and rebuilt them; query performance improved by over 60%. Time to resolve: 2 hours.
INC1006253,Tablet screen is flickering,"David at Singapore Office reported that their tablet (asset tag AST-91340) display flickers intermittently, especially under load. Issue first observed on 2025-08-10. Requesting hardware support to resolve.",Hardware,Desktop Support,Reseated display cable and updated graphics driver on tablet (asset AST-91340); flickering resolved. Verified with David that the issue is resolved. Estimated resolution time: 4 hours.
INC1006254,Email issue: distribution list issue,Steven reported that they are is not receiving emails sent to a distribution list they should be a member of. First noticed on 2025-02-11.,Email,Service Desk,Added user to the correct distribution list and verified group membership synced correctly. Confirmed with Steven that the issue is resolved. Time to resolve: 30 minutes.
INC1006255,InventoryDB access request to database,Stephen Hunter requires read access to InventoryDB for a reporting project. Reported on 2026-08-18. Impact assessed as affecting downstream reporting.,Database,Database Administration,Granted read-only access to InventoryDB following DBA and data owner approval. Time to resolve: 4 hours.
INC1006256,AWS Lambda function: provisioning request,Jennifer Evans requesting provisioning of a new AWS Lambda function for an upcoming project. Submitted on 2025-08-31.,Cloud Services,Cloud Infrastructure,Provisioned the requested AWS Lambda function according to standard sizing guidelines and shared access details with Jennifer Evans. Time to resolve: 1 hour.
INC1006257,Email issue: distribution list issue,Sara reported that they are is not receiving emails sent to a distribution list they should be a member of. First noticed on 2025-08-05.,Email,Service Desk,Added user to the correct distribution list and verified group membership synced correctly. Confirmed with Sara that the issue is resolved. Time to resolve: 4 hours.
INC1006258,Keyboard is overheating,Jared at New York HQ reported that their keyboard (asset tag AST-68146) shuts down unexpectedly after running for 20-30 minutes due to overheating. Issue first observed on 2025-06-07. Requesting hardware support to resolve.,Hardware,Desktop Support,Cleaned dust from internal vents and reapplied thermal paste on keyboard (asset AST-68146); temperatures now within normal range. Verified with Jared that the issue is resolved. Estimated resolution time: next business day.
INC1006259,LoggingDB connection timeout,"Robert Rogers application is unable to establish a connection to LoggingDB, timing out after 30 seconds. Reported on 2025-05-02. Impact assessed as affecting downstream reporting.",Database,Database Administration,Identified connection pool exhaustion on LoggingDB and increased the maximum pool size; connections now stable. Time to resolve: next business day.
INC1006260,ProdDB01 access request to database,Rebecca Taylor requires read access to ProdDB01 for a reporting project. Reported on 2025-04-14. Impact assessed as affecting downstream reporting.,Database,Database Administration,Granted read-only access to ProdDB01 following DBA and data owner approval. Time to resolve: 1 hour.
INC1006261,Dhcp lease speed is degraded,Jessica at Austin Office (IP 10.152.83.98) reports significantly slower than normal speeds on DHCP lease. Reported on 2026-03-02. Business impact: unable to access internal resources reliably.,Network,Infrastructure Team,Identified bandwidth saturation from a background process and applied QoS policy to prioritize DHCP lease; speeds restored to normal. Confirmed resolution with Jessica. Total time to resolve: 3 business days.
INC1006262,Printer-Xerox-WorkCentre-12: not printing,David reported that jobs sent to Printer-Xerox-WorkCentre-12 at Toronto Office are queued but never print. Issue reported on 2025-09-13.,Printing,Field Services,Restarted the print spooler service and reinstalled the driver for Printer-Xerox-WorkCentre-12; print jobs now complete successfully. Time to resolve: next business day.
INC1006263,Email issue: mailbox full,Andrew reported that they are receiving a mailbox quota exceeded warning and cannot receive new emails. First noticed on 2026-01-02.,Email,Email Administration,Increased mailbox quota and assisted user in archiving older emails to a PST file; mailbox now within limits. Confirmed with Andrew that the issue is resolved. Time to resolve: 2 hours.
INC1006264,Telephony: call quality issues,Ryan at London Office reported that their phone reports frequent call drops and static during calls. Reported on 2026-04-10.,Telephony,Desktop Support,Identified network congestion on the VoIP VLAN and applied QoS prioritization; call quality confirmed improved. Time to resolve: 2 hours.
INC1006265,Printer-HP-LaserJet-1: low toner,Michael reported that Printer-HP-LaserJet-1 at Berlin Office is displaying a low toner warning. Issue reported on 2025-01-16.,Printing,Field Services,Replaced toner cartridge on Printer-HP-LaserJet-1 from on-site inventory; warning cleared. Time to resolve: 15 minutes.
INC1006266,Email issue: emails going to spam,Shawn reported that they are reports that emails sent to a specific external client are landing in the client's spam folder. First noticed on 2024-12-25.,Email,Service Desk,Reviewed SPF/DKIM/DMARC records and corrected a misconfigured SPF record; deliverability confirmed improved. Confirmed with Shawn that the issue is resolved. Time to resolve: 4 hours.
INC1006267,Telephony: softphone login issue,Ashley at Berlin Office reported that their phone cannot log into the softphone application on their laptop. Reported on 2024-09-17.,Telephony,Desktop Support,Reset softphone credentials and reinstalled the client application; login confirmed successful. Time to resolve: 3 business days.
INC1006268,Email issue: distribution list issue,Sara reported that they are is not receiving emails sent to a distribution list they should be a member of. First noticed on 2026-05-16.,Email,Email Administration,Added user to the correct distribution list and verified group membership synced correctly. Confirmed with Sara that the issue is resolved. Time to resolve: 1 business day.
INC1006269,Network printer configuration request,Alexander at Austin Office (IP 10.207.70.236) requesting a configuration change to network printer. Reported on 2025-02-02. Business impact: unable to access internal resources reliably.,Network,Network Operations,Applied the requested configuration change to network printer and validated connectivity with the requester. Confirmed resolution with Alexander. Total time to resolve: 3 business days.
INC1006270,Tableau won't install,William reported that Tableau on macOS Sonoma installation fails partway through with error code 0x26865C. This is impacting their ability to complete daily tasks. Issue started on 2026-09-03.,Software,Application Support,"Downloaded latest installer package for Tableau, ran as administrator, and completed a clean installation. User confirmed resolution. Time to resolve: next business day."
INC1006271,Barcode scanner is overheating,Cynthia at Toronto Office reported that their barcode scanner (asset tag AST-66482) shuts down unexpectedly after running for 20-30 minutes due to overheating. Issue first observed on 2026-04-19. Requesting hardware support to resolve.,Hardware,Desktop Support,Cleaned dust from internal vents and reapplied thermal paste on barcode scanner (asset AST-66482); temperatures now within normal range. Verified with Cynthia that the issue is resolved. Estimated resolution time: 4 hours.
INC1006272,Azure SQL Database: cost anomaly,Sonya Pope noticed an unexpected spike in billing associated with a Azure SQL Database. Submitted on 2026-08-08.,Cloud Services,Cloud Infrastructure,"Identified an unintended auto-scaling misconfiguration on the Azure SQL Database, corrected scaling rules, and confirmed costs normalized. Time to resolve: 30 minutes."
INC1006273,Dhcp lease configuration request,Jessica at London Office (IP 172.24.141.112) requesting a configuration change to DHCP lease. Reported on 2025-05-04. Business impact: unable to access internal resources reliably.,Network,Network Operations,Applied the requested configuration change to DHCP lease and validated connectivity with the requester. Confirmed resolution with Jessica. Total time to resolve: 1 business day.
INC1006274,FinanceDB data discrepancy,Mr. Brian Schaefer noticed inconsistent record counts between FinanceDB and the reporting dashboard. Reported on 2026-09-03. Impact assessed as affecting downstream reporting.,Database,Database Administration,Traced the discrepancy to a failed ETL job for FinanceDB and re-ran the job successfully; data now reconciled. Time to resolve: next business day.
INC1006275,Jira won't save files,Holly reported that Jira on Windows 10 returns an error and fails to save documents to the shared drive. This is impacting their ability to complete daily tasks. Issue started on 2025-11-07.,Software,Application Support,Corrected file permissions on the shared drive and cleared local Jira cache; file saving now works as expected. User confirmed resolution. Time to resolve: 15 minutes.
INC1006276,Wireless mouse battery not charging,Todd at Austin Office reported that their wireless mouse (asset tag AST-54091) battery does not charge even when connected to the power adapter. Issue first observed on 2025-11-09. Requesting hardware support to resolve.,Hardware,Field Services,Replaced battery and power adapter for wireless mouse (asset AST-54091); confirmed charging is functioning correctly. Verified with Todd that the issue is resolved. Estimated resolution time: 2 hours.
INC1006277,Email issue: emails going to spam,Amber reported that they are reports that emails sent to a specific external client are landing in the client's spam folder. First noticed on 2025-04-07.,Email,Service Desk,Reviewed SPF/DKIM/DMARC records and corrected a misconfigured SPF record; deliverability confirmed improved. Confirmed with Amber that the issue is resolved. Time to resolve: next business day.
INC1006278,HR_DB performance degradation,Rachel Scott DVM reports that queries against HR_DB are running significantly slower than usual. Reported on 2025-09-20. Impact assessed as affecting downstream reporting.,Database,Database Administration,Identified missing indexes on frequently queried tables in HR_DB and rebuilt them; query performance improved by over 60%. Time to resolve: 1 business day.
INC1006279,Telephony: call quality issues,Austin at Bengaluru Office reported that their phone reports frequent call drops and static during calls. Reported on 2026-03-11.,Telephony,Telecom Support,Identified network congestion on the VoIP VLAN and applied QoS prioritization; call quality confirmed improved. Time to resolve: 3 business days.
INC1006280,Usb device policy violation detected,Security monitoring system flagged a USB device policy violation originating from IP 172.25.6.237 associated with Pamela's account. Reported/detected on 2025-11-26.,Security,Security Operations,"Investigated the USB device policy violation, confirmed it was a false positive triggered by a new device login, and whitelisted the device after verification. Incident closed after confirming no further malicious activity. Time to resolve: next business day."
INC1006281,Barcode scanner won't power on,Lauren at Berlin Office reported that their barcode scanner (asset tag AST-22013) does not power on when the power button is pressed. Issue first observed on 2025-02-14. Requesting hardware support to resolve.,Hardware,Field Services,Replaced faulty power supply unit on barcode scanner (asset AST-22013) and confirmed device powers on normally. Verified with Lauren that the issue is resolved. Estimated resolution time: 1 business day.
INC1006282,Docking station won't power on,Madison at Chicago Office reported that their docking station (asset tag AST-72082) does not power on when the power button is pressed. Issue first observed on 2026-04-05. Requesting hardware support to resolve.,Hardware,Field Services,Replaced faulty power supply unit on docking station (asset AST-72082) and confirmed device powers on normally. Verified with Madison that the issue is resolved. Estimated resolution time: next business day.
INC1006283,BillingDB data discrepancy,Daniel Anderson noticed inconsistent record counts between BillingDB and the reporting dashboard. Reported on 2025-02-25. Impact assessed as affecting downstream reporting.,Database,Database Administration,Traced the discrepancy to a failed ETL job for BillingDB and re-ran the job successfully; data now reconciled. Time to resolve: 1 hour.
INC1006284,Active Directory license activation error,Brittany reported that Active Directory on Windows 11 shows a licensing error (0x5B7842) preventing use of premium features. This is impacting their ability to complete daily tasks. Issue started on 2026-06-30.,Software,Service Desk,Reassigned an available Active Directory license to the user's account and re-activated the software successfully. User confirmed resolution. Time to resolve: 1 business day.
INC1006285,External hard drive won't connect to docking station,Craig at Chicago Office reported that their external hard drive (asset tag AST-97586) is not detected when connected to the docking station. Issue first observed on 2024-11-28. Requesting hardware support to resolve.,Hardware,Desktop Support,Updated docking station firmware and drivers for external hard drive (asset AST-97586); connection restored. Verified with Craig that the issue is resolved. Estimated resolution time: 1 business day.
INC1006286,Printer won't power on,Jennifer at New York HQ reported that their printer (asset tag AST-21533) does not power on when the power button is pressed. Issue first observed on 2025-11-18. Requesting hardware support to resolve.,Hardware,Field Services,Replaced faulty power supply unit on printer (asset AST-21533) and confirmed device powers on normally. Verified with Jennifer that the issue is resolved. Estimated resolution time: next business day.
INC1006287,LoggingDB performance degradation,Kimberly Curtis reports that queries against LoggingDB are running significantly slower than usual. Reported on 2026-01-11. Impact assessed as affecting downstream reporting.,Database,Database Administration,Identified missing indexes on frequently queried tables in LoggingDB and rebuilt them; query performance improved by over 60%. Time to resolve: 30 minutes.
INC1006288,SharePoint won't install,Renee reported that SharePoint on Windows 11 installation fails partway through with error code 0xD860EA. This is impacting their ability to complete daily tasks. Issue started on 2025-05-14.,Software,Service Desk,"Downloaded latest installer package for SharePoint, ran as administrator, and completed a clean installation. User confirmed resolution. Time to resolve: 1 business day."
INC1006289,Email issue: unable to send emails,Keith reported that they are receiving a non-delivery report (NDR) when trying to send emails to external recipients. First noticed on 2026-07-29.,Email,Email Administration,Identified that the domain was temporarily blacklisted by the recipient's mail server; submitted delisting request and confirmed emails are now delivering. Confirmed with Keith that the issue is resolved. Time to resolve: 2 hours.
INC1006290,Active Directory access revocation,Alan Lyons has changed roles and no longer requires access to Active Directory. Request submitted on 2026-09-08 with approval workflow initiated.,Access Management,Identity & Access Management,Revoked Active Directory access in accordance with least-privilege policy and updated access records. Estimated resolution time: 2 hours.
INC1006291,Printer-HP-LaserJet-8: low toner,Nancy reported that Printer-HP-LaserJet-8 at London Office is displaying a low toner warning. Issue reported on 2024-12-25.,Printing,Desktop Support,Replaced toner cartridge on Printer-HP-LaserJet-8 from on-site inventory; warning cleared. Time to resolve: 1 hour.
INC1006292,VPN Client license activation error,James reported that VPN Client on macOS Sonoma shows a licensing error (0xBF30F8) preventing use of premium features. This is impacting their ability to complete daily tasks. Issue started on 2025-11-22.,Software,Application Support,Reassigned an available VPN Client license to the user's account and re-activated the software successfully. User confirmed resolution. Time to resolve: 30 minutes.
INC1006293,Data loss prevention alert - confirmed,Security team confirmed a genuine data loss prevention alert involving Amanda's account from IP 172.25.155.0. Reported/detected on 2025-01-20.,Security,Security Operations,"Contained the data loss prevention alert by disabling the affected account temporarily, forcing a password reset, and enabling MFA; account restored after verification. Incident closed after confirming no further malicious activity. Time to resolve: 2 hours."
INC1006294,Email issue: unable to send emails,Pamela reported that they are receiving a non-delivery report (NDR) when trying to send emails to external recipients. First noticed on 2025-12-25.,Email,Email Administration,Identified that the domain was temporarily blacklisted by the recipient's mail server; submitted delisting request and confirmed emails are now delivering. Confirmed with Pamela that the issue is resolved. Time to resolve: 2 hours.
INC1006295,Email issue: mailbox full,Matthew reported that they are receiving a mailbox quota exceeded warning and cannot receive new emails. First noticed on 2026-02-20.,Email,Email Administration,Increased mailbox quota and assisted user in archiving older emails to a PST file; mailbox now within limits. Confirmed with Matthew that the issue is resolved. Time to resolve: 4 hours.
INC1006296,Dns resolution configuration request,Julie at Remote - Home Office (IP 192.168.72.94) requesting a configuration change to DNS resolution. Reported on 2026-07-12. Business impact: unable to access internal resources reliably.,Network,Infrastructure Team,Applied the requested configuration change to DNS resolution and validated connectivity with the requester. Confirmed resolution with Julie. Total time to resolve: 4 hours.
INC1006297,Network switch connectivity is down,David at Remote - Home Office (IP 172.31.117.97) reports complete loss of connectivity affecting network switch. Reported on 2024-10-28. Business impact: unable to access internal resources reliably.,Network,Infrastructure Team,Identified a misconfigured route on the core switch affecting network switch; corrected configuration and restored connectivity. Confirmed resolution with David. Total time to resolve: 4 hours.
INC1006298,Printer-Brother-MFC-20: low toner,Diane reported that Printer-Brother-MFC-20 at London Office is displaying a low toner warning. Issue reported on 2026-08-27.,Printing,Desktop Support,Replaced toner cartridge on Printer-Brother-MFC-20 from on-site inventory; warning cleared. Time to resolve: 1 business day.
INC1006299,OneDrive password reset,James Williams is unable to log in and has requested a password reset for OneDrive. Request submitted on 2026-02-26 with approval workflow initiated.,Access Management,Service Desk,Reset password for OneDrive account and sent temporary credentials securely to the user; user confirmed successful login. Estimated resolution time: 30 minutes.
INC1006300,Telephony: call quality issues,Barbara at Toronto Office reported that their phone reports frequent call drops and static during calls. Reported on 2025-06-13.,Telephony,Desktop Support,Identified network congestion on the VoIP VLAN and applied QoS prioritization; call quality confirmed improved. Time to resolve: 4 hours.
INC1006301,Azure App Service: access issue,Paul Andrews cannot access a Azure App Service they were previously able to reach. Submitted on 2025-10-13.,Cloud Services,Cloud Infrastructure,Corrected an IAM policy that had inadvertently restricted access to the Azure App Service; access confirmed restored. Time to resolve: 3 business days.
INC1006302,Jira is missing a feature after update,Molly reported that Jira on macOS Ventura no longer displays a previously available menu option after the last update. This is impacting their ability to complete daily tasks. Issue started on 2025-04-02.,Software,Service Desk,Confirmed the feature was moved in the latest Jira update and guided the user to its new location; issue resolved via user education. User confirmed resolution. Time to resolve: 2 hours.
INC1006303,AWS S3 bucket: provisioning request,Michael Robertson requesting provisioning of a new AWS S3 bucket for an upcoming project. Submitted on 2026-01-30.,Cloud Services,Application Support,Provisioned the requested AWS S3 bucket according to standard sizing guidelines and shared access details with Michael Robertson. Time to resolve: next business day.
INC1006304,OrdersDB data discrepancy,Latoya Robles noticed inconsistent record counts between OrdersDB and the reporting dashboard. Reported on 2025-02-03. Impact assessed as affecting downstream reporting.,Database,Database Administration,Traced the discrepancy to a failed ETL job for OrdersDB and re-ran the job successfully; data now reconciled. Time to resolve: 1 hour.
INC1006305,Salesforce account locked out,Dana Smith account is locked out after multiple failed login attempts to Salesforce. Request submitted on 2025-07-01 with approval workflow initiated.,Access Management,Service Desk,Verified user identity and unlocked the account for Salesforce; advised user to reset password via self-service portal. Estimated resolution time: 1 business day.
INC1006306,Azure SQL Database: cost anomaly,Ryan Brown noticed an unexpected spike in billing associated with a Azure SQL Database. Submitted on 2026-06-21.,Cloud Services,Cloud Infrastructure,"Identified an unintended auto-scaling misconfiguration on the Azure SQL Database, corrected scaling rules, and confirmed costs normalized. Time to resolve: 1 business day."
INC1006307,Usb device policy violation detected,Security monitoring system flagged a USB device policy violation originating from IP 172.16.60.177 associated with Robert's account. Reported/detected on 2024-11-27.,Security,Security Operations,"Investigated the USB device policy violation, confirmed it was a false positive triggered by a new device login, and whitelisted the device after verification. Incident closed after confirming no further malicious activity. Time to resolve: 30 minutes."
INC1006308,Telephony: voicemail not working,"Marcus at London Office reported that their phone is unable to access voicemail, receiving an authentication error. Reported on 2026-07-06.",Telephony,Telecom Support,Reset voicemail PIN and reconfigured voicemail box settings; user confirmed access restored. Time to resolve: 2 hours.
INC1006309,Dns resolution configuration request,Jessica at Sydney Office (IP 192.168.142.57) requesting a configuration change to DNS resolution. Reported on 2025-05-15. Business impact: unable to access internal resources reliably.,Network,Infrastructure Team,Applied the requested configuration change to DNS resolution and validated connectivity with the requester. Confirmed resolution with Jessica. Total time to resolve: 1 hour.
INC1006310,Site-to-site vpn tunnel is intermittent,Elizabeth at Toronto Office (IP 192.168.165.27) experiencing intermittent drops in site-to-site VPN tunnel every few minutes. Reported on 2025-05-13. Business impact: unable to access internal resources reliably.,Network,Network Operations,Replaced a faulty network cable and updated firmware on the access point serving site-to-site VPN tunnel; connection now stable. Confirmed resolution with Elizabeth. Total time to resolve: 2 hours.
INC1006311,Printer-Brother-MFC-3: not printing,Katherine reported that jobs sent to Printer-Brother-MFC-3 at New York HQ are queued but never print. Issue reported on 2026-06-27.,Printing,Field Services,Restarted the print spooler service and reinstalled the driver for Printer-Brother-MFC-3; print jobs now complete successfully. Time to resolve: 1 business day.
INC1006312,Printer-Xerox-WorkCentre-16: not printing,Michael reported that jobs sent to Printer-Xerox-WorkCentre-16 at Sydney Office are queued but never print. Issue reported on 2026-09-10.,Printing,Field Services,Restarted the print spooler service and reinstalled the driver for Printer-Xerox-WorkCentre-16; print jobs now complete successfully. Time to resolve: 15 minutes.
INC1006313,Email issue: emails going to spam,George reported that they are reports that emails sent to a specific external client are landing in the client's spam folder. First noticed on 2025-08-25.,Email,Service Desk,Reviewed SPF/DKIM/DMARC records and corrected a misconfigured SPF record; deliverability confirmed improved. Confirmed with George that the issue is resolved. Time to resolve: 1 business day.
INC1006314,OrdersDB data discrepancy,Adam Hughes noticed inconsistent record counts between OrdersDB and the reporting dashboard. Reported on 2025-08-08. Impact assessed as affecting downstream reporting.,Database,Database Administration,Traced the discrepancy to a failed ETL job for OrdersDB and re-ran the job successfully; data now reconciled. Time to resolve: 3 business days.
INC1006315,Telephony: no dial tone,Abigail at Sydney Office reported that their phone desk phone has no dial tone and cannot make or receive calls. Reported on 2026-04-30.,Telephony,Desktop Support,Replaced faulty Ethernet cable providing PoE to the desk phone and confirmed dial tone restored. Time to resolve: 15 minutes.
INC1006316,FinanceDB connection timeout,"Savannah Carter application is unable to establish a connection to FinanceDB, timing out after 30 seconds. Reported on 2024-10-28. Impact assessed as affecting downstream reporting.",Database,Database Administration,Identified connection pool exhaustion on FinanceDB and increased the maximum pool size; connections now stable. Time to resolve: 1 business day.
INC1006317,Printer-Xerox-WorkCentre-20: poor print quality,Charles reported that documents printed on Printer-Xerox-WorkCentre-20 at Remote - Home Office show faded or streaked output. Issue reported on 2025-06-22.,Printing,Field Services,Replaced toner cartridge and cleaned print heads on Printer-Xerox-WorkCentre-20; print quality restored to normal. Time to resolve: 2 hours.
INC1006318,Malware detection alert - confirmed,Security team confirmed a genuine malware detection alert involving Jonathan's account from IP 10.131.108.149. Reported/detected on 2026-06-07.,Security,Security Operations,"Contained the malware detection alert by disabling the affected account temporarily, forcing a password reset, and enabling MFA; account restored after verification. Incident closed after confirming no further malicious activity. Time to resolve: 15 minutes."
INC1006319,FinanceDB data discrepancy,Randy Chapman noticed inconsistent record counts between FinanceDB and the reporting dashboard. Reported on 2025-08-27. Impact assessed as affecting downstream reporting.,Database,Database Administration,Traced the discrepancy to a failed ETL job for FinanceDB and re-ran the job successfully; data now reconciled. Time to resolve: 1 business day.
INC1006320,InventoryDB data discrepancy,Charles Charles noticed inconsistent record counts between InventoryDB and the reporting dashboard. Reported on 2025-02-10. Impact assessed as affecting downstream reporting.,Database,Database Administration,Traced the discrepancy to a failed ETL job for InventoryDB and re-ran the job successfully; data now reconciled. Time to resolve: 1 hour.
INC1006321,Wireless mouse won't connect to docking station,Allison at London Office reported that their wireless mouse (asset tag AST-21505) is not detected when connected to the docking station. Issue first observed on 2026-07-14. Requesting hardware support to resolve.,Hardware,Desktop Support,Updated docking station firmware and drivers for wireless mouse (asset AST-21505); connection restored. Verified with Allison that the issue is resolved. Estimated resolution time: 1 business day.
INC1006322,Printer-HP-LaserJet-12: not printing,Whitney reported that jobs sent to Printer-HP-LaserJet-12 at Toronto Office are queued but never print. Issue reported on 2024-09-28.,Printing,Field Services,Restarted the print spooler service and reinstalled the driver for Printer-HP-LaserJet-12; print jobs now complete successfully. Time to resolve: 15 minutes.
INC1006323,Workday permission elevation,Sara Hoover requires elevated permissions in Workday to complete a new project. Request submitted on 2026-08-17 with approval workflow initiated.,Access Management,Service Desk,"Elevated permissions were granted in Workday with manager approval from Monica Chavez, with a scheduled review in 90 days. Estimated resolution time: 30 minutes."
